Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Wkw
5.2.CHin1_4,-29.52282,114.9606,20180915,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin1,4,1,13,,
5.2.CHin1_40,-29.52094,114.9605,20180915,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin1,40,1,13,,
5.1.CHout2_19,-29.48198,114.9592,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,19,1,13,,
5.1.CHout2_38,-29.48219,114.9592,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,38,1,13,,
5.1.CHout2_7,-29.48259,114.9592,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,7,1,13,,
5.1.CHout2_15,-29.48322,114.9587,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,15,,13,,
5.1.CHout2_2,-29.48394,114.9584,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,2,1,13,1,
5.2.CHout2_2,-29.4844,114.9588,20180915,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHout2,2,1,13,,
5.2.CHout2_15,-29.48333,114.9592,20180915,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHout2,15,1,13,,
5.2.CHout2_7,-29.48262,114.9591,20180915,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHout2,7,1,13,,
5.2.CHout2_38,-29.4823,114.9594,20180915,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHout2,38,1,13,,
5.2.CHout2_19,-29.48179,114.9595,20180915,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHout2,19,1,13,,1
5.1.CHout2_36,-29.47882,114.9569,20180914,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHout2,36,1,13,,
